ncbiID	fullName	rank	parentID
92000489	Acinetobacter baumannii 6112	norank	470
92000490	Acinetobacter baumannii 61SM01	norank	470
92000491	Acinetobacter baumannii 6200	norank	470
92000492	Acinetobacter baumannii 625974	norank	470
92000493	Acinetobacter baumannii 628418	norank	470
92000494	Acinetobacter baumannii 647609	norank	470
92000495	Acinetobacter baumannii 65	norank	470
92000496	Acinetobacter baumannii 653020	norank	470
92000497	Acinetobacter baumannii 655378	norank	470
92000498	Acinetobacter baumannii 655555	norank	470
92000499	Acinetobacter baumannii 65SM01	norank	470
92000500	Acinetobacter baumannii 662545-1347	norank	470
92000501	Acinetobacter baumannii 6772166	norank	470
92000502	Acinetobacter baumannii 6870155	norank	470
92000503	Acinetobacter baumannii 68SM01	norank	470
92000504	Acinetobacter baumannii 70136	norank	470
92000505	Acinetobacter baumannii 722310	norank	470
92000506	Acinetobacter baumannii 724909	norank	470
92000507	Acinetobacter baumannii 72SM01	norank	470
92000508	Acinetobacter baumannii 730795	norank	470
92000509	Acinetobacter baumannii 73736	norank	470
92000510	Acinetobacter baumannii 737393	norank	470
92000511	Acinetobacter baumannii 741019	norank	470
92000512	Acinetobacter baumannii 74SM01	norank	470
92000513	Acinetobacter baumannii 754286	norank	470
92000514	Acinetobacter baumannii 755829	norank	470
92000515	Acinetobacter baumannii 756476	norank	470
92000516	Acinetobacter baumannii 781407	norank	470
92000517	Acinetobacter baumannii 7893	norank	470
92000518	Acinetobacter baumannii 796380-2102	norank	470
92000519	Acinetobacter baumannii 825610	norank	470
92000520	Acinetobacter baumannii 831240	norank	470
92000521	Acinetobacter baumannii 83444	norank	470
92000522	Acinetobacter baumannii 836190	norank	470
92000523	Acinetobacter baumannii 846928	norank	470
92000524	Acinetobacter baumannii 855125	norank	470
92000525	Acinetobacter baumannii 863	norank	470
92000526	Acinetobacter baumannii 86II/2C	norank	470
92000527	Acinetobacter baumannii 891	norank	470
92000528	Acinetobacter baumannii 895	norank	470
92000529	Acinetobacter baumannii 8D1	norank	470
92000530	Acinetobacter baumannii 916567	norank	470
92000531	Acinetobacter baumannii 923	norank	470
92000532	Acinetobacter baumannii 923118	norank	470
92000533	Acinetobacter baumannii 929679-2095	norank	470
92000534	Acinetobacter baumannii 940793	norank	470
92000535	Acinetobacter baumannii 942133	norank	470
92000536	Acinetobacter baumannii 942194	norank	470
92000537	Acinetobacter baumannii 947299	norank	470
92000538	Acinetobacter baumannii 951631	norank	470
92000539	Acinetobacter baumannii 959073	norank	470
92000540	Acinetobacter baumannii 96512	norank	470
92000541	Acinetobacter baumannii 96SM	norank	470
92000542	Acinetobacter baumannii 972082	norank	470
